Provinsi/Kabupaten/Kota/Indonesia,
,Proporsi Perempuan Pernah Kawin 15-49 tahun yang Melahirkan Anak Lahir Hidup Yang Pertama Kali Berumur Kurang dari 20 tahun Menurut Kabupaten/Kota
GORONTALO,0.292
Boalemo,0.306
Gorontalo,0.334
Pohuwato,0.356
Bone Bolango,0.257
Gorontalo Utara,0.332
Kota Gorontalo,0.139
SULAWESI BARAT,0.33
Majene,0.334
Polewali Mandar,0.279
Mamasa,0.273
Mamuju,0.402
Mamuju Utara / Pasangkayu,0.382
Mamuju Tengah,0.329
MALUKU,0.2
Maluku Tenggara Barat / Kepulauan Tanimbar,0.192
Maluku Tenggara,0.19
Maluku Tengah,0.216
Buru,0.339
Kepulauan Aru,0.228
Seram Bagian Barat,0.156
Seram Bagian Timur,0.21
Maluku Barat Daya,0.135
Buru Selatan,0.228
Kota Ambon,0.162
Kota Tual,0.151
MALUKU UTARA,0.267
Halmahera Barat,0.317
Halmahera Tengah,0.299
Kepulauan Sula,0.181
Halmahera Selatan,0.329
Halmahera Utara,0.328
Halmahera Timur,0.307
Pulau Morotai,0.327
Pulau Taliabu,0.36
Kota Ternate,0.105
Kota Tidore Kepulauan,0.233
PAPUA BARAT,0.225
Fakfak,0.181
Kaimana,0.223
Teluk Wondama,0.263
Teluk Bintuni,0.398
Manokwari,0.184
Sorong Selatan,0.3
Sorong,0.35
Raja Ampat,0.232
Tambrauw,0.264
Maybrat,0.173
Manokwari Selatan,0.429
Pegunungan Arfak,0.312
Kota Sorong,0.127
PAPUA BARAT DAYA,-
Raja Ampat,-
Sorong,-
Sorong Selatan,-
Maybrat,-
Tambrauw,-
Kota Sorong,-
PAPUA,0.269
Merauke,0.314
Jayawijaya,0.035
Jayapura,0.26
Nabire,0.292
Kepulauan Yapen,0.228
Biak Numfor,0.225
Paniai,0.238
Puncak Jaya,0.325
Mimika,0.291
Boven Digoel,0.294
Mappi,0.405
Asmat,0.29
Yahukimo,0.354
Pegunungan Bintang,0.325
Tolikara,0.089
Sarmi,0.274
Keerom,0.277
Waropen,0.268
Supiori,0.219
Mamberamo Raya,0.424
Nduga,0.148
Lanny Jaya,0.206
Mamberamo Tengah,0.376
Yalimo,0.188
Puncak,0.399
Dogiyai,0.163
Intan Jaya,0.495
Deiyai,0.265
Kota Jayapura,0.217
PAPUA SELATAN,-
Merauke,-
Boven Digoel,-
Mappi,-
Asmat,-
PAPUA TENGAH,-
Mimika,-
Dogiyai,-
Deiyai,-
Nabire,-
Paniai,-
Intan Jaya,-
Puncak,-
Puncak Jaya,-
PAPUA PEGUNUNGAN,-
Nduga,-
Jayawijaya,-
Lanny Jaya,-
Tolikara,-
Mamberamo Tengah,-
Yalimo,-
Yahukimo,-
Pegunungan Bintang,-
INDONESIA,0.241
